Date,AAPL,MSFT,WMT,NKE,MCD,DIS
2018-04-19,168.0091,93.2805,84.6498,64.5092,152.8842,98.116
2018-04-20,161.1254,92.2032,83.7733,64.8625,152.1559,97.4839
2018-04-23,160.6588,92.5429,82.9257,65.6378,152.3668,97.3964
2018-04-24,158.4225,90.3785,83.3399,65.7261,150.7663,96.7253
2018-04-25,159.1128,89.5924,83.9563,65.4317,149.4438,98.3689
2018-04-26,159.667,91.485,84.6979,66.7861,152.2805,97.0949
2018-04-27,157.8197,92.9991,84.0719,68.268,151.7055,96.5017
2018-04-30,160.6782,90.7668,85.1987,67.1198,160.4648,97.5714
2018-05-01,164.4117,92.2032,84.1875,66.8351,156.6314,97.3088
2018-05-02,171.6746,90.7571,83.1569,66.9922,153.9863,96.8809
2018-05-03,171.9857,91.3006,83.051,65.6574,153.4113,96.0446
2018-05-04,178.7333,92.3585,84.303,66.8351,158.1552,98.3689
2018-05-07,180.0265,93.3873,82.319,68.0521,158.1264,99.6623
2018-05-08,180.8918,92.9893,82.579,67.1885,157.9059,98.9913
2018-05-09,182.1655,94.0861,79.9978,66.6879,157.398,97.2213
2018-05-10,184.7711,95.0275,80.1432,66.6585,158.1935,98.8843
2018-05-11,184.0684,94.8237,80.812,67.159,158.5001,99.2636
2018-05-14,183.639,95.144,81.7908,67.5614,157.858,99.6234
2018-05-15,181.97,94.4549,81.9168,68.2091,156.2672,100.0902
2018-05-16,183.6682,94.6986,83.4772,70.015,156.0851,102.1519
2018-05-17,182.5068,93.7531,81.8878,69.6224,154.5901,101.4712
2018-05-18,181.8431,93.9285,81.0639,69.9953,154.2738,101.0724
2018-05-21,183.1314,95.1372,81.9072,70.0542,154.753,101.1989
2018-05-22,182.6727,95.0398,80.8023,69.9855,152.8076,101.2086
2018-05-23,183.844,96.1705,80.4533,70.015,154.8872,100.061
2018-05-24,183.639,95.8293,80.2983,70.8394,155.6251,99.3025
2018-05-25,184.0587,95.8781,79.9203,70.9081,156.4109,99.39
2018-05-29,183.395,95.5369,79.8621,69.6028,153.9288,96.949
2018-05-30,183.0046,96.4532,81.5292,70.8884,155.0788,97.231
2018-05-31,182.3896,96.3459,79.9978,70.4664,153.3443,96.7351
2018-06-01,185.6788,98.2467,80.434,71.6081,153.4986,96.6281
2018-06-04,187.2307,99.1045,82.7891,72.6611,154.5209,97.4839
2018-06-05,188.6752,99.6114,82.0138,72.8776,153.8072,97.1921
2018-06-06,189.3292,99.9038,81.9556,73.5666,156.604,99.108
2018-06-07,188.8217,98.3345,82.3336,73.5764,163.4515,99.6526
2018-06-08,187.1039,99.0655,81.7618,73.7142,162.9018,101.1211
2018-06-11,186.6451,98.5002,81.7036,73.4091,160.5678,101.4809
2018-06-12,187.6699,98.7536,81.5098,73.1138,160.7993,101.4614
2018-06-13,186.1278,98.3052,81.5001,72.9367,160.6546,103.387
2018-06-14,186.2254,98.8608,81.2093,73.5173,161.1079,105.7599
2018-06-15,184.3124,97.6034,81.1221,74.6393,160.5389,105.8572
2018-06-18,184.2148,98.315,80.4436,74.4129,160.3653,104.1164
2018-06-19,181.2379,98.315,81.0349,73.0843,159.1019,103.1828
2018-06-20,182.0285,99.2995,81.0349,73.537,156.7776,104.2039
2018-06-21,181.0135,98.5879,81.6164,72.7694,154.8199,102.9785
2018-06-22,180.4864,97.8763,82.2076,72.2674,158.6968,103.4162
2018-06-25,177.8023,95.9073,83.8068,71.2046,154.1254,101.5781
2018-06-26,180.0082,96.5799,83.3319,71.4112,155.1863,101.3934
2018-06-27,179.7446,95.0788,84.2138,70.2204,151.8204,101.1016
2018-06-28,181.0525,96.1412,83.2156,70.5648,150.7596,101.8894
2018-06-29,180.6718,96.1217,83.012,78.4185,151.1164,101.9282
2018-07-02,182.6922,97.4864,81.4128,77.1096,151.29,102.4339
2018-07-03,179.5104,96.5507,81.8393,75.0723,150.9139,101.1794
2018-07-05,180.9549,97.2427,81.9653,75.3381,151.724,102.4437
2018-07-06,183.4633,98.6074,81.9072,75.2692,153.7493,102.7182
2018-07-09,186.0107,99.28,83.2834,76.0565,154.2508,103.9338
2018-07-10,185.7863,99.5432,84.524,76.3419,154.9066,103.9436
2018-07-11,183.3754,99.4067,83.8649,76.1352,152.9778,105.914
2018-07-12,186.4499,101.561,83.8552,76.1451,153.46,106.1199
2018-07-13,186.7427,102.7697,84.9989,76.1549,152.8717,107.8354
2018-07-16,186.3328,102.2628,84.9407,76.5191,153.1321,108.0315
2018-07-17,186.8598,103.2765,85.4738,76.2435,154.0676,108.1295
2018-07-18,185.835,102.4675,85.3575,75.3774,152.3123,108.5119
2018-07-19,187.2796,101.7656,85.0183,75.7317,151.8108,109.9235
2018-07-20,186.8501,103.5884,85.3478,75.7416,152.3509,109.2863
2018-07-23,187.016,105.2456,84.931,75.3774,153.1031,108.904
2018-07-24,188.3727,104.9434,85.2509,74.3342,152.322,108.5217
2018-07-25,190.1491,108.0334,85.1927,75.9384,153.2382,108.9922
2018-07-26,189.5537,106.8539,85.5126,76.9127,150.586,111.2764
2018-07-27,186.4011,104.9629,85.4156,75.6727,151.8783,110.4039
2018-07-30,185.3568,102.7112,86.1425,74.7574,152.9971,110.4137
2018-07-31,185.7276,103.4033,86.4818,75.6924,151.9362,111.3254
2018-08-01,196.6689,103.5982,85.5223,76.3124,151.3382,110.747
